order_id,product_id,add_to_cart_order,reordered
196,90308,1,0
197,90383,1,0
198,90397,1,0
199,90028,1,0
200,90083,1,0
201,90319,1,0
202,90386,1,0
203,90428,1,0
204,90450,1,0
205,90530,1,0
206,90112,1,0
207,90120,1,0
208,90144,1,0
209,90309,1,0
210,90323,1,0
211,90408,1,0
212,90036,1,0
213,90043,1,0
214,90135,1,0
215,90239,1,0
216,90287,1,0
217,90295,1,0
218,90346,1,0
219,90388,1,0
220,90401,1,0
221,90524,1,0
222,90554,1,0
223,90035,1,0
224,90076,1,0
225,90118,1,0
226,90370,1,0
227,90440,1,0
228,90456,1,0
229,90482,1,0
230,90508,1,0
231,90536,1,0
232,90544,1,0
233,90097,1,0
234,90201,1,0
235,90261,1,0
236,90459,1,0
237,90480,1,0
238,90549,1,0
239,90065,1,0
240,90104,1,0
241,90174,1,0
242,90226,1,0
243,90240,1,0
244,90325,1,0
245,90326,1,0
246,90332,1,0
247,90397,1,0
248,90432,1,0
249,90434,1,0
250,90498,1,0
251,90135,1,0
252,90176,1,0
253,90219,1,0
254,90229,1,0
255,90254,1,0
256,90375,1,0
257,90318,1,0
258,90460,1,0
259,90482,1,0
260,90561,1,0
261,90137,1,0
262,90153,1,0
263,90206,1,0
264,90224,1,0
265,90560,1,0
266,90563,1,0
267,90082,1,0
268,90230,1,0
269,90299,1,0
270,90388,1,0
271,90480,1,0
272,90166,1,0
273,90229,1,0
274,90250,1,0
275,90266,1,0
276,90524,1,0
277,90565,1,0
278,90060,1,0
279,90156,1,0
280,90275,1,0
281,90336,1,0
282,90418,1,0
283,90440,1,0
284,90479,1,0
285,90566,1,0
286,90105,1,0
287,90109,1,0
288,90119,1,0
289,90217,1,0
290,90231,1,0
291,90316,1,0
292,90531,1,0
293,90008,1,0
294,90095,1,0
295,90112,1,0
296,90147,1,0
297,90433,1,0
298,90526,1,0
299,90540,1,0
300,90098,1,0
301,90101,1,0
302,90149,1,0
303,90175,1,0
304,90239,1,0
305,90365,1,0
306,90463,1,0
307,90474,1,0
308,90531,1,0
309,90551,1,0
310,90552,1,0
311,90562,1,0
312,90019,1,0
313,90038,1,0
314,90041,1,0
315,90092,1,0
316,90237,1,0
317,90063,1,0
318,90071,1,0
319,90099,1,0
320,90324,1,0
321,90471,1,0
322,90055,1,0
323,90195,1,0
324,90305,1,0
325,90344,1,0
326,90036,1,0
327,90087,1,0
328,90150,1,0
329,90174,1,0
330,90208,1,0
331,90241,1,0
332,90254,1,0
333,90272,1,0
334,90327,1,0
335,90355,1,0
336,90438,1,0
337,90471,1,0
338,90500,1,0
339,90510,1,0
340,90006,1,0
341,90042,1,0
342,90115,1,0
343,90164,1,0
344,90187,1,0
345,90290,1,0
346,90337,1,0
347,90463,1,0
